trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.33, 'e': 1.0}",25,0,-43.41584735286468,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
2,False,"{'a': 0.33, 'e': 0.9753099120283326}",20,0,-103.45403384954491,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.33, 'e': 0.951229424500714}",20,0,-37.21311155979722,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.33, 'e': 0.9277434863285529}",20,0,-73.74471119044057,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.33, 'e': 0.9048374180359595}",20,0,-57.246577741993214,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.33, 'e': 0.8824969025845955}",25,0,-98.65429561570916,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.33, 'e': 0.8607079764250578}",20,0,-52.432796728367016,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.33, 'e': 0.8394570207692074}",25,0,-127.99251275590447,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.33, 'e': 0.8187307530779818}",20,0,-77.5799176286245,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.33, 'e': 0.7985162187593771}",30,0,-102.80649947913267,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.33, 'e': 0.7788007830714049}",25,0,-39.18954811193449,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.33, 'e': 0.7595721232249685}",25,0,-143.90870408389335,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.33, 'e': 0.7408182206817179}",20,0,-166.96406047718335,"{0: 11, 1: 2, 2: 1, 3: 4, 4: 2}",0
14,False,"{'a': 0.33, 'e': 0.7225273536420722}",20,0,-139.7335159168914,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.33, 'e': 0.7046880897187134}",20,0,-20.08950415973588,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.33, 'e': 0.6872892787909722}",20,0,-16.631181004940125,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.33, 'e': 0.6703200460356393}",30,0,-208.3347197875031,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
18,False,"{'a': 0.33, 'e': 0.6537697851298473}",20,0,-53.88741496198416,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.33, 'e': 0.6376281516217733}",25,0,-140.86598438740342,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.33, 'e': 0.62188505646502}",20,0,-57.969571585026515,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.33, 'e': 0.6065306597126334}",20,2,-25.010356218185162,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.33, 'e': 0.5915553643668151}",20,1,-50.72574999596986,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
23,False,"{'a': 0.33, 'e': 0.5769498103804866}",25,0,-68.87718102544967,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
24,False,"{'a': 0.33, 'e': 0.5627048688069557}",25,0,22.613187867754565,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.33, 'e': 0.5488116360940264}",30,1,-139.2659577264781,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 3}",1
26,False,"{'a': 0.33, 'e': 0.5352614285189903}",30,14,-61.31019156084795,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
27,False,"{'a': 0.33, 'e': 0.522045776761016}",20,0,-52.30146984479855,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.33, 'e': 0.5091564206075492}",20,0,-78.28484244692,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.33, 'e': 0.49658530379140947}",25,0,-45.75046307355727,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.33, 'e': 0.4843245689553624}",35,0,-64.78937968505335,"{0: 28, 1: 0, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.33, 'e': 0.4723665527410147}",20,10,-6.404002007516159,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.33, 'e': 0.4607037809989658}",35,0,-73.67523481208399,"{0: 30, 1: 1, 2: 1, 3: 1, 4: 2}",0
33,False,"{'a': 0.33, 'e': 0.44932896411722156}",25,13,12.731667763594032,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.33, 'e': 0.4382349924649492}",20,16,5.370433256494368,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.33, 'e': 0.42741493194872665}",25,0,-47.21722101825411,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.33, 'e': 0.4168620196785084}",25,0,-68.98964050491911,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.33, 'e': 0.4065696597405991}",20,0,0.10107744399428498,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.33, 'e': 0.39653141907499284}",30,0,-150.56861802919119,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
39,False,"{'a': 0.33, 'e': 0.3867410234545012}",20,7,9.83177787014992,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.33, 'e': 0.3771923535631569}",30,3,-56.19322757710835,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 0}",1
41,False,"{'a': 0.33, 'e': 0.36787944117144233}",20,3,30.518136407538357,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.33, 'e': 0.35879646540595156}",20,0,-41.15899073475994,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
43,False,"{'a': 0.33, 'e': 0.3499377491111553}",25,17,3.8592890075426594,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.33, 'e': 0.3412977553009937}",25,0,26.855371520652113,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.33, 'e': 0.33287108369807955}",20,9,20.550040536641436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.33, 'e': 0.32465246735834974}",25,0,15.55442995534503,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.33, 'e': 0.31663676937905316}",35,19,-9.363885643377163,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.33, 'e': 0.30881897968801986}",20,12,-3.256581748502236,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.33, 'e': 0.301194211912202}",30,17,-67.4352170579845,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
50,False,"{'a': 0.33, 'e': 0.29375770032353277}",30,0,-2.1145226900473526,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.33, 'e': 0.2865047968601901}",20,0,26.883553808595384,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.33, 'e': 0.2794309682214073}",30,12,19.054415500763763,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.33, 'e': 0.2725317930340126}",25,17,17.129860718378687,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.33, 'e': 0.26580295908892654}",20,0,-84.34748661329427,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.33, 'e': 0.2592402606458915}",25,13,-43.7644220310166,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.33, 'e': 0.25283959580474646}",20,8,19.296191589001584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.33, 'e': 0.24659696394160643}",25,0,-77.9866023155197,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
58,False,"{'a': 0.33, 'e': 0.24050846320834213}",20,13,-6.880739533354832,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.33, 'e': 0.23457028809379762}",20,0,-3.221184011395864,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.33, 'e': 0.22877872704522242}",25,6,9.25477919983527,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.33, 'e': 0.22313016014842982}",20,0,3.043532182163073,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.33, 'e': 0.21762105686523284}",20,11,-32.70055545707741,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.33, 'e': 0.21224797382674304}",20,8,-31.1201622224104,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.33, 'e': 0.2070075526811526}",25,11,12.767901336111745,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.33, 'e': 0.20189651799465538}",25,14,-74.90757540046692,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
66,False,"{'a': 0.33, 'e': 0.19691167520419406}",25,10,0.9949120999019094,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
