trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-133.43027446033608,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-132.14298100376138,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-99.45561336135756,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,24,10.548745999867938,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-99.30405565564068,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-104.33562911101454,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-7.912943158813016,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-142.8556899466718,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-129.63938047587206,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-51.432650032335104,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-83.73885146072043,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-167.32885932182398,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-103.57523892882307,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-87.95206619497505,"{0: 26, 1: 1, 2: 5, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-117.77781948633056,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-96.27742308808224,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-133.3426699583976,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-176.6496333118746,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-79.81246774326205,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,-62.08624723825424,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-144.34404767745244,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-86.40005904048795,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-42.06856673287393,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,11,-11.778376541527237,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,-57.37996596618618,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-214.99023034737013,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",25,0,-172.7580645613797,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-115.85272506080813,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-156.877653995578,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-119.71565159127007,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
